3,3,0.15,Plainville,Connecticut,6062,2337,379900
4,3,3.35,Barkhamsted,Connecticut,6063,2626,556000
2,1,0.29,Winchester,Connecticut,6098,1450,40000
4,3,2.62,Barkhamsted,Connecticut,6063,2675,559000
4,3,0.46,Farmington,Connecticut,6032,2312,499900
4,3,2.4,East Granby,Connecticut,6026,2100,579900
4,3,3.22,Avon,Connecticut,6001,2500,514900
4,3,2.07,New Hartford,Connecticut,6057,2500,549900
4,3,1.7,Avon,Connecticut,6001,2700,549900
3,2,0.11,Plainville,Connecticut,6062,1284,159900
4,3,0.5,Farmington,Connecticut,6032,2591,359900
4,5,2.02,Avon,Connecticut,6001,5991,599900
4,3,1.77,Burlington,Connecticut,6013,2755,549600
4,3,3.24,Barkhamsted,Connecticut,6063,3080,515000
4,3,1.17,Simsbury,Connecticut,6092,2500,499900
4,5,1.2,Farmington,Connecticut,6085,4007,1201215
4,5,2.3,Burlington,Connecticut,6013,3319,773261
4,5,1.2,Farmington,Connecticut,6085,3261,945553
4,3,0.96,Avon,Connecticut,6001,2500,514900
4,4,2.07,Burlington,Connecticut,6013,3300,689900
4,3,1.46,Burlington,Connecticut,6013,3017,618943
4,4,1.62,Burlington,Connecticut,6013,3134,682469
3,1,1.06,Bristol,Connecticut,6010,1444,175000
4,3,0.58,Canton,Connecticut,6019,2352,375000
3,1,0.14,Plainville,Connecticut,6062,1238,169900
5,8,9.07,Farmington,Connecticut,6032,10823,3850000
4,7,2.25,Avon,Connecticut,6001,7422,1250000
4,3,2.27,Canton,Connecticut,6019,3011,649000
4,3,4.07,Burlington,Connecticut,6013,2750,945000
3,2,0.5,Plainville,Connecticut,6062,2164,170000
4,3,0.56,Canton,Connecticut,6019,1904,289900
6,6,4.12,Farmington,Connecticut,6032,5276,849900
5,5,7.18,Canton,Connecticut,6019,4049,1153000
5,6,10.79,Canton,Connecticut,6019,5466,1600000
4,5,4.33,Canton,Connecticut,6019,3949,1088000
4,4,3.4,Canton,Connecticut,6019,2886,790000
4,4,1.06,Farmington,Connecticut,6032,3753,849900
4,4,1.05,Burlington,Connecticut,6013,3138,707664
4,4,2.06,Canton,Connecticut,6019,3100,829000
4,3,1.08,Burlington,Connecticut,6013,3077,707932
4,3,1.9,Canton,Connecticut,6019,3037,799000
3,3,1.38,Avon,Connecticut,6001,1498,290000
3,2,1.7,Burlington,Connecticut,6013,1528,384900
4,5,0.63,Farmington,Connecticut,6032,3570,749900
3,2,0.33,Canton,Connecticut,6019,1324,179900
5,3,1.11,Canton,Connecticut,6019,3348,474900
3,2,1.26,Barkhamsted,Connecticut,6063,1584,389000
3,1,1.04,Burlington,Connecticut,6013,1248,389000
4,3,1.34,Granby,Connecticut,6060,2967,485000
3,3,0.35,Bristol,Connecticut,6010,1565,374900
4,4,1.39,Simsbury,Connecticut,6092,3985,619900
4,3,1.09,Simsbury,Connecticut,6070,2902,400000
4,2,0.35,Bristol,Connecticut,6010,1820,289900
3,2,22.41,Simsbury,Connecticut,6070,1489,550000
3,3,0.28,Plainville,Connecticut,6062,1478,349900
3,2,0.44,New Hartford,Connecticut,6057,1491,224550
5,3,46.28,Colebrook,Connecticut,6021,3307,1095000
5,7,2.14,Avon,Connecticut,6001,7401,1395000
3,3,6.92,Barkhamsted,Connecticut,6063,2462,493000
4,4,6.5,East Granby,Connecticut,6026,3300,875000
4,6,4.13,Winchester,Connecticut,6098,3448,299900
2,1,0.19,Plainville,Connecticut,6062,768,139900
3,3,0.52,Farmington,Connecticut,6032,1714,492000
4,4,2.41,Granby,Connecticut,6060,3394,550000
3,2,0.31,Plainville,Connecticut,6062,1570,279900
3,2,0.23,Winchester,Connecticut,6098,1346,225000
